KO_Class,KO_Subclass1,KO_Subclass2,KO_Number,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01964,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15036,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15037,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14468,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15017,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15039,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14469,,[EC:1.3.1.84,4.2.1.116,6.2.1.36],,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15018,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15019,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15020,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15052,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K05606,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01847,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01848,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01849,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14471,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14472,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K08691,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14449,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14470,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K09709,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15038,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14465,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14466,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14467,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18861,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14534,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15016,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00626,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00198,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00196,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K03518,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K03519,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K03520,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00192,,,,,,,,
